radius_m,width_m,load_n,slip,kc,kphi,n,cohesion_pa,phi_rad,shear_length_m,cells
0.3,0.2,25,0,0,100000,1,100,0.5,0.02,256
0.3,0.2,25,0.05,0,100000,1,100,0.5,0.02,256
0.3,0.2,25,0.1,0,100000,1,100,0.5,0.02,256
0.3,0.2,25,0.2,0,100000,1,100,0.5,0.02,256
0.3,0.2,25,0.3,0,100000,1,100,0.5,0.02,256
0.3,0.2,50,0,0,100000,1,100,0.5,0.02,256
0.3,0.2,50,0.05,0,100000,1,100,0.5,0.02,256
0.3,0.2,50,0.1,0,100000,1,100,0.5,0.02,256
0.3,0.2,50,0.2,0,100000,1,100,0.5,0.02,256
0.3,0.2,50,0.3,0,100000,1,100,0.5,0.02,256
0.3,0.2,100,0,0,100000,1,100,0.5,0.02,256
0.3,0.2,100,0.05,0,100000,1,100,0.5,0.02,256
0.3,0.2,100,0.1,0,100000,1,100,0.5,0.02,256
0.3,0.2,100,0.2,0,100000,1,100,0.5,0.02,256
0.3,0.2,100,0.3,0,100000,1,100,0.5,0.02,256
0.3,0.2,100,0.2,0,100000,1,100,0.5,0.02,32
0.3,0.2,100,0.2,0,100000,1,100,0.5,0.02,64
0.3,0.2,100,0.2,0,100000,1,100,0.5,0.02,128
0.3,0.2,100,0.2,0,100000,1,100,0.5,0.02,512
0.3,0.2,100,0.2,0,100000,1,100,0.5,0.02,1024
